"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 05 18:15:01 GMT 2023","Mon Jun 05 18:15:02 GMT 2023","874","","order.GetOrderListTest","","order.GetOrderListTest","getOrderListWithAuth","Get list of orders with authorization",""
"passed","Mon Jun 05 18:14:52 GMT 2023","Mon Jun 05 18:14:53 GMT 2023","315","","user.CreateUserTest","","user.CreateUserTest","createExistingUser","Create existing user",""
"passed","Mon Jun 05 18:14:53 GMT 2023","Mon Jun 05 18:14:53 GMT 2023","388","","user.CreateUserTest","","user.CreateUserTest","createNewUser","Create new user with valid data",""
"passed","Mon Jun 05 18:14:50 GMT 2023","Mon Jun 05 18:14:51 GMT 2023","600","","user.GetUserDataTest","","user.GetUserDataTest","getUserData","Get user data",""
"passed","Mon Jun 05 18:14:59 GMT 2023","Mon Jun 05 18:15:00 GMT 2023","982","","order.CreateOrderTest","","order.CreateOrderTest","createOrderWithoutIngredients","Create new order without ingredients",""
"passed","Mon Jun 05 18:14:55 GMT 2023","Mon Jun 05 18:14:56 GMT 2023","1332","","order.CreateOrderTest","","order.CreateOrderTest","createOrder","Create new order with all ingredients",""
"passed","Mon Jun 05 18:14:45 GMT 2023","Mon Jun 05 18:14:49 GMT 2023","4153","","user.UpdateUserDataTest","","user.UpdateUserDataTest","updateUserDataWithoutAuth","Update user data without authorization",""
"passed","Mon Jun 05 18:14:53 GMT 2023","Mon Jun 05 18:14:55 GMT 2023","1174","","user.DeleteUserTest","","user.DeleteUserTest","deleteExistingUser","Delete user",""
"passed","Mon Jun 05 18:15:00 GMT 2023","Mon Jun 05 18:15:01 GMT 2023","323","","order.GetOrderListTest","","order.GetOrderListTest","getOrderListWithoutAuth","Get list of orders without authorization",""
"failed","Mon Jun 05 18:14:56 GMT 2023","Mon Jun 05 18:14:58 GMT 2023","1965","","order.CreateOrderTest","","order.CreateOrderTest","createOrderWithoutAuth","Create new order without authorization",""
"passed","Mon Jun 05 18:14:58 GMT 2023","Mon Jun 05 18:14:59 GMT 2023","1180","","order.CreateOrderTest","","order.CreateOrderTest","createOrderWithInvalidIngredient","Create new order with invalid ingredient",""
"passed","Mon Jun 05 18:14:55 GMT 2023","Mon Jun 05 18:14:55 GMT 2023","404","","order.GetIngredientDataTest","","order.GetIngredientDataTest","getIngredientData","Get list of ingredients",""
"passed","Mon Jun 05 18:14:51 GMT 2023","Mon Jun 05 18:14:52 GMT 2023","618","","user.LoginUserTest","","user.LoginUserTest","loginNonExistingUser","Login non-existing user",""
"passed","Mon Jun 05 18:14:53 GMT 2023","Mon Jun 05 18:14:53 GMT 2023","302","","user.CreateUserTest","","user.CreateUserTest","createUserWithEmptyPassword","Create user with empty password field",""
"passed","Mon Jun 05 18:14:50 GMT 2023","Mon Jun 05 18:14:50 GMT 2023","760","","user.UpdateUserDataTest","","user.UpdateUserDataTest","updateUserDataWithAuth","Update user data with authorization",""
"passed","Mon Jun 05 18:14:52 GMT 2023","Mon Jun 05 18:14:52 GMT 2023","840","","user.LoginUserTest","","user.LoginUserTest","loginExistingUser","Login existing user",""
